epsilon,sigma,cutoff_nm,stable,violations,loss,density_kg_m3,dhvap_kj_mol
2.75,0.3,1.1159,True,,0.4158750152943713,1614.7189143446296,41.07761085704845
2.75,0.31,1.1159,True,,0.36614586433425766,1497.2595410920176,41.63435338996801
2.75,0.32,1.1159,True,,0.3218543456192288,1395.7361814353683,42.35384453167615
2.75,0.33,1.1159,True,,0.28157835351216914,1303.65297186257,43.02516531200411
2.75,0.34,1.1159,True,,0.27791071963559827,1215.9425765539977,43.490517250722114
2.75,0.35,1.1159,True,,0.30481167433828965,1139.0854776858534,44.152391553479085
2.75,0.36,1.1159,True,,0.3283820664149943,1071.4830394224373,44.75118626828654
2.75,0.37,1.1159,True,,0.3515648073132899,1007.0656215782763,45.19021177303152
2.75,0.38,1.1159,True,,0.3707602120506471,950.1258543443093,45.81419326204912
2.75,0.39,1.1159,True,,0.3909403591453099,894.9574621224923,46.13085634157172
2.75,0.4,1.1159,True,,0.4068642466400533,846.967701102987,46.70304277555051
2.75,0.41,1.1159,True,,0.4231344935598175,801.023005814915,47.0643048094644
2.75,0.42,1.1159,True,,0.43699456154339933,759.861750936113,47.51830946281217
2.75,0.43,1.1159,True,,0.4516992129863935,719.754996574147,47.742344723883114
2.75,0.44,1.1159,True,,0.4662324162851128,681.6712080734178,47.85129469361025
2.75,0.45,1.1159,True,,0.47703520785488607,649.2959792609208,48.22637052964167
3.0,0.3,1.1159,True,,0.40455133224379003,1665.3961018935154,46.80319382558276
3.0,0.31,1.1159,True,,0.3534427399367954,1548.2427536097246,47.63312458840479
3.0,0.32,1.1159,True,,0.3063582464901513,1437.3345254454691,48.18227928464249
3.0,0.33,1.1159,True,,0.26422955467760917,1339.1649752188528,48.750663471526046
3.0,0.34,1.1159,True,,0.230211592168483,1253.3442540355225,49.46709168970948
3.0,0.35,1.1159,True,,0.25901771751267305,1173.1565585082374,50.023073867676345
3.0,0.36,1.1159,True,,0.28308863432227555,1102.5129252466431,50.75069420699769
3.0,0.37,1.1159,True,,0.3072565291385204,1034.920938498253,51.23998763183298
3.0,0.38,1.1159,True,,0.3280809828263381,975.6438880600376,51.73650062539714
3.0,0.39,1.1159,True,,0.34706544963848435,920.895844083108,52.24038043251325
3.0,0.4,1.1159,True,,0.3638977690071561,870.60040536331,52.81396515698716
3.0,0.41,1.1159,True,,0.3802866622357022,823.7327613134668,53.22037572522755
3.0,0.42,1.1159,True,,0.3943529191969902,781.4571109163211,53.71744043740556
3.0,0.43,1.1159,True,,0.4087861305947159,740.67894225398,54.039430473725965
3.0,0.44,1.1159,True,,0.4212217912175571,704.2472211077896,54.41066552986611
3.0,0.45,1.1159,True,,0.4346088497649122,668.5459245725505,54.55592620220898
3.25,0.3,1.1159,False,min_image,,,
3.25,0.31,1.1159,True,,0.33738688744565215,1585.4099411599168,53.24299958529851
3.25,0.32,1.1159,True,,0.2898986065947265,1476.426120819446,54.004805311909784
3.25,0.33,1.1159,True,,0.2456781926327442,1373.2145659466578,54.58927515599142
3.25,0.34,1.1159,True,,0.20673622379957085,1286.0227970621945,55.37152358495911
3.25,0.35,1.1159,True,,0.2120236135510991,1206.3357092634076,56.17668203572628
3.25,0.36,1.1159,True,,0.23890224730605378,1131.8997635620735,56.66753536080943
3.25,0.37,1.1159,True,,0.26273933368526997,1062.9701821218198,57.313762810058364
3.25,0.38,1.1159,True,,0.28390616860177065,1001.4680881687261,57.908864327069864
3.25,0.39,1.1159,True,,0.302513196529488,945.6452859453442,58.559158132279784
3.25,0.4,1.1159,True,,0.31962514975860323,894.5564074301702,59.13922633885992
3.25,0.41,1.1159,True,,0.33733097977373905,845.4497057868928,59.46786973378023
3.25,0.42,1.1159,True,,0.35115000587364126,802.5964620882411,60.051698573376555
3.25,0.43,1.1159,True,,0.3665243246254281,759.9573165434022,60.33698184581863
3.25,0.44,1.1159,True,,0.38002943994119853,721.7383694333331,60.642817694820344
3.25,0.45,1.1159,True,,0.39294927183166845,685.622167695721,60.90311709409454
