x,y,loss,violations
1578.947368,142.368421,0.192156,
1578.947368,150.0,,blowup
1873.684211,5.0,2.284465,
1873.684211,12.631579,0.826771,
1873.684211,20.263158,0.11982,
1873.684211,27.894737,0.094237,
1873.684211,35.526316,0.046286,
1873.684211,43.157895,0.060798,
1873.684211,50.789474,0.057136,
1873.684211,58.421053,0.076845,
1873.684211,66.052632,0.077337,
1873.684211,73.684211,0.085768,
1873.684211,81.315789,0.116132,
1873.684211,88.947368,0.084147,
1873.684211,96.578947,0.100473,
1873.684211,104.210526,0.105705,
1873.684211,111.842105,0.100394,
1873.684211,119.473684,0.110562,
1873.684211,127.105263,0.105701,
1873.684211,134.736842,0.103856,
1873.684211,142.368421,0.111809,
1873.684211,150.0,0.169167,
2168.421053,5.0,2.265259,
2168.421053,12.631579,0.889231,
2168.421053,20.263158,0.157954,
2168.421053,27.894737,0.047015,
2168.421053,35.526316,0.046364,
2168.421053,43.157895,0.047793,
2168.421053,50.789474,0.036174,
2168.421053,58.421053,0.059591,
2168.421053,66.052632,0.023696,
2168.421053,73.684211,0.069028,
2168.421053,81.315789,0.055227,
2168.421053,88.947368,0.069232,
2168.421053,96.578947,0.0605,
2168.421053,104.210526,0.052431,
2168.421053,111.842105,0.087305,
2168.421053,119.473684,0.059673,
2168.421053,127.105263,0.088334,
2168.421053,134.736842,0.079791,
2168.421053,142.368421,0.08044,
2168.421053,150.0,0.099208,
2463.157895,5.0,2.259838,
2463.157895,12.631579,1.029996,
2463.157895,20.263158,0.120862,
2463.157895,27.894737,0.078507,
2463.157895,35.526316,0.057317,
2463.157895,43.157895,0.042823,
2463.157895,50.789474,0.05806,
2463.157895,58.421053,0.10265,
2463.157895,66.052632,0.085629,
2463.157895,73.684211,0.073776,
2463.157895,81.315789,0.084312,
2463.157895,88.947368,0.086763,
2463.157895,96.578947,0.094016,
2463.157895,104.210526,0.094576,
2463.157895,111.842105,0.080216,
2463.157895,119.473684,0.087133,
2463.157895,127.105263,0.076052,
2463.157895,134.736842,,blowup
2463.157895,142.368421,0.124438,
2463.157895,150.0,0.142512,
2757.894737,5.0,2.296238,
2757.894737,12.631579,1.017445,
2757.894737,20.263158,0.149043,
2757.894737,27.894737,0.162023,
2757.894737,35.526316,0.087894,
2757.894737,43.157895,0.108763,
2757.894737,50.789474,0.11136,
2757.894737,58.421053,0.075448,
2757.894737,66.052632,0.131896,
2757.894737,73.684211,0.141148,
2757.894737,81.315789,0.125569,
2757.894737,88.947368,0.12955,
2757.894737,96.578947,0.137463,
2757.894737,104.210526,0.109334,
2757.894737,111.842105,0.121503,
2757.894737,119.473684,0.121912,
2757.894737,127.105263,0.149145,
2757.894737,134.736842,,blowup
2757.894737,142.368421,0.163735,
2757.894737,150.0,0.130794,
3052.631579,5.0,2.282214,
3052.631579,12.631579,0.986034,
3052.631579,20.263158,0.178365,
3052.631579,27.894737,0.135572,
3052.631579,35.526316,0.117664,
3052.631579,43.157895,0.109348,
3052.631579,50.789474,0.117383,
3052.631579,58.421053,0.118842,
3052.631579,66.052632,0.138347,
3052.631579,73.684211,0.14081,
3052.631579,81.315789,0.149766,
3052.631579,88.947368,0.160045,
3052.631579,96.578947,0.155698,
3052.631579,104.210526,0.182245,
3052.631579,111.842105,0.167299,
3052.631579,119.473684,0.135482,
3052.631579,127.105263,0.177018,
3052.631579,134.736842,0.170453,
3052.631579,142.368421,,blowup
3052.631579,150.0,,blowup
3347.368421,5.0,2.321956,
3347.368421,12.631579,0.932937,
3347.368421,20.263158,0.252521,
3347.368421,27.894737,0.140491,
3347.368421,35.526316,0.170884,
3347.368421,43.157895,0.153366,
3347.368421,50.789474,0.123814,
3347.368421,58.421053,0.149692,
3347.368421,66.052632,0.168013,
3347.368421,73.684211,0.150805,
3347.368421,81.315789,0.170826,
3347.368421,88.947368,0.1308,
3347.368421,96.578947,0.201487,
3347.368421,104.210526,0.197627,
3347.368421,111.842105,0.171874,
3347.368421,119.473684,0.171728,
3347.368421,127.105263,0.20967,
3347.368421,134.736842,0.179874,
3347.368421,142.368421,0.203588,
3347.368421,150.0,0.205348,
3642.105263,5.0,2.360922,
3642.105263,12.631579,1.010847,
