epsilon,sigma,loss,loss_sd,n_stable,crash_frac,violations
0.73077,0.32154,0.61968,0.026681,5,0.0,
0.73077,0.32462,0.47812,0.033908,5,0.0,
0.73077,0.32769,0.423105,0.031199,5,0.0,
0.73077,0.33077,0.43417,0.027626,5,0.0,
0.73077,0.33385,0.483012,0.023531,5,0.0,
0.73077,0.33692,0.53928,0.023531,5,0.0,
0.73077,0.34,0.569238,0.017312,5,0.0,
0.73077,0.34308,0.67683,0.046862,5,0.0,
0.73077,0.34615,0.794209,0.025645,5,0.0,
0.73077,0.34923,0.926231,0.017719,5,0.0,
0.73077,0.35231,1.097197,0.048734,5,0.0,
0.73077,0.35538,0.831278,0.031435,5,0.0,
0.73077,0.35846,0.949056,0.021921,5,0.0,
0.73077,0.36154,1.126065,0.01732,5,0.0,
0.73077,0.36462,1.347281,0.011083,5,0.0,
0.73077,0.36769,1.61274,0.0061,5,0.0,
0.73077,0.37077,1.928006,0.010332,5,0.0,
0.73077,0.37385,2.303481,0.007974,5,0.0,
0.73077,0.37692,2.736637,0.013458,5,0.0,
0.73077,0.38,3.243453,0.005596,5,0.0,
0.73077,0.38308,3.815203,0.010543,5,0.0,
0.73077,0.38615,4.473875,0.010818,5,0.0,
0.73077,0.38923,5.197793,0.006319,5,0.0,
0.73077,0.39231,6.037673,0.007948,5,0.0,
0.73077,0.39538,6.968201,0.002825,5,0.0,
0.73077,0.39846,8.022136,0.004202,5,0.0,
0.73077,0.40154,9.192314,0.005012,5,0.0,
0.73077,0.40462,10.498949,0.005052,5,0.0,
0.73077,0.40769,11.959175,0.003225,5,0.0,
0.73077,0.41077,13.564685,0.003211,5,0.0,
0.73077,0.41385,15.34771,0.004946,5,0.0,
0.73077,0.41692,17.327366,0.007462,5,0.0,
0.73077,0.42,19.498541,0.00284,5,0.0,
0.76923,0.3,1.14375,0.052546,5,0.0,
0.76923,0.30308,1.090041,0.047566,5,0.0,
0.76923,0.30615,1.000274,0.054774,5,0.0,
0.76923,0.30923,0.943582,0.073241,5,0.0,
0.76923,0.31231,0.876241,0.06201,5,0.0,
0.76923,0.31538,0.808261,0.052168,5,0.0,
0.76923,0.31846,0.694609,0.041636,5,0.0,
0.76923,0.32154,0.620785,0.04135,5,0.0,
0.76923,0.32462,0.507515,0.042937,5,0.0,
0.76923,0.32769,0.401697,0.031242,5,0.0,
0.76923,0.33077,0.367103,0.019125,5,0.0,
0.76923,0.33385,0.400061,0.046226,5,0.0,
0.76923,0.33692,0.42751,0.034161,5,0.0,
0.76923,0.34,0.507767,0.058805,5,0.0,
0.76923,0.34308,0.593326,0.021873,5,0.0,
0.76923,0.34615,0.701498,0.01656,5,0.0,
0.76923,0.34923,0.886644,0.019121,5,0.0,
0.76923,0.35231,0.814199,0.185821,5,0.0,
0.76923,0.35538,0.745014,0.021359,5,0.0,
0.76923,0.35846,0.87229,0.009326,5,0.0,
0.76923,0.36154,1.051209,0.011862,5,0.0,
0.76923,0.36462,1.296099,0.020177,5,0.0,
0.76923,0.36769,1.576928,0.014211,5,0.0,
0.76923,0.37077,1.912134,0.005826,5,0.0,
0.76923,0.37385,2.298902,0.010961,5,0.0,
0.76923,0.37692,2.757159,0.006606,5,0.0,
0.76923,0.38,3.284657,0.008407,5,0.0,
0.76923,0.38308,3.882603,0.003066,5,0.0,
0.76923,0.38615,4.561834,0.0057,5,0.0,
0.76923,0.38923,5.350547,0.006269,5,0.0,
0.76923,0.39231,6.222442,0.003834,5,0.0,
0.76923,0.39538,7.211965,0.004686,5,0.0,
0.76923,0.39846,8.317645,0.003525,5,0.0,
0.76923,0.40154,9.548474,0.003634,5,0.0,
0.76923,0.40462,10.928756,0.008344,5,0.0,
0.76923,0.40769,12.458875,0.009203,5,0.0,
0.76923,0.41077,14.148413,0.00476,5,0.0,
0.76923,0.41385,16.031871,0.005542,5,0.0,
0.76923,0.41692,18.109942,0.002196,5,0.0,
0.76923,0.42,20.396756,0.004871,5,0.0,
0.80769,0.3,1.138609,0.032511,5,0.0,
0.80769,0.30308,1.096964,0.039344,5,0.0,
0.80769,0.30615,1.000496,0.035552,5,0.0,
0.80769,0.30923,0.955883,0.043405,5,0.0,
0.80769,0.31231,0.871087,0.0528,5,0.0,
0.80769,0.31538,0.76581,0.034718,5,0.0,
0.80769,0.31846,0.715103,0.014648,5,0.0,
0.80769,0.32154,0.654797,0.040096,5,0.0,
0.80769,0.32462,0.551234,0.042259,5,0.0,
0.80769,0.32769,0.407813,0.03567,5,0.0,
0.80769,0.33077,0.313416,0.044896,5,0.0,
0.80769,0.33385,0.3136,0.018704,5,0.0,
0.80769,0.33692,0.383732,0.012075,5,0.0,
0.80769,0.34,0.416847,0.028015,5,0.0,
0.80769,0.34308,0.507092,0.031419,5,0.0,
0.80769,0.34615,0.634764,0.022463,5,0.0,
0.80769,0.34923,0.827704,0.021668,5,0.0,
0.80769,0.35231,0.542517,0.030973,5,0.0,
0.80769,0.35538,0.631728,0.023165,5,0.0,
0.80769,0.35846,0.779343,0.012423,5,0.0,
0.80769,0.36154,0.988184,0.013379,5,0.0,
0.80769,0.36462,1.233178,0.021252,5,0.0,
0.80769,0.36769,1.528695,0.014888,5,0.0,
0.80769,0.37077,1.880148,0.006332,5,0.0,
0.80769,0.37385,2.297079,0.012613,5,0.0,
0.80769,0.37692,2.773742,0.007727,5,0.0,
0.80769,0.38,3.32832,0.006365,5,0.0,
0.80769,0.38308,3.956268,0.004077,5,0.0,
0.80769,0.38615,4.674679,0.002252,5,0.0,
0.80769,0.38923,5.495666,0.008073,5,0.0,
0.80769,0.39231,6.418965,0.007709,5,0.0,
0.80769,0.39538,7.451219,0.006518,5,0.0,
0.80769,0.39846,8.608158,0.004158,5,0.0,
0.80769,0.40154,9.904287,0.00634,5,0.0,
0.80769,0.40462,11.352564,0.002114,5,0.0,
0.80769,0.40769,12.953714,0.001975,5,0.0,
0.80769,0.41077,14.740579,0.001747,5,0.0,
0.80769,0.41385,16.708258,0.005765,5,0.0,
0.80769,0.41692,18.895674,0.004619,5,0.0,
0.80769,0.42,21.292929,0.00368,5,0.0,
0.84615,0.3,1.17471,0.087658,5,0.0,
0.84615,0.30308,1.070947,0.065861,5,0.0,
0.84615,0.30615,1.070119,0.043045,5,0.0,
0.84615,0.30923,1.009876,0.03976,5,0.0,
0.84615,0.31231,0.883419,0.029708,5,0.0,
0.84615,0.31538,0.825502,0.0321,5,0.0,
0.84615,0.31846,0.774141,0.085025,5,0.0,
0.84615,0.32154,0.645428,0.057371,5,0.0,
0.84615,0.32462,0.587689,0.046337,5,0.0,
0.84615,0.32769,0.443084,0.062556,5,0.0,
0.84615,0.33077,0.319434,0.025387,5,0.0,
0.84615,0.33385,0.230577,0.013111,5,0.0,
0.84615,0.33692,0.264328,0.037364,5,0.0,
0.84615,0.34,0.353843,0.011912,5,0.0,
0.84615,0.34308,0.414143,0.025381,5,0.0,
0.84615,0.34615,0.573213,0.019517,5,0.0,
0.84615,0.34923,0.664788,0.187774,5,0.0,
0.84615,0.35231,0.427355,0.01891,5,0.0,
0.84615,0.35538,0.543429,0.005802,5,0.0,
0.84615,0.35846,0.705959,0.012606,5,0.0,
0.84615,0.36154,0.918546,0.009065,5,0.0,
0.84615,0.36462,1.176369,0.010693,5,0.0,
0.84615,0.36769,1.500091,0.009296,5,0.0,
0.84615,0.37077,1.87102,0.016024,5,0.0,
0.84615,0.37385,2.296597,0.012586,5,0.0,
0.84615,0.37692,2.797757,0.007098,5,0.0,
0.84615,0.38,3.369327,0.008591,5,0.0,
0.84615,0.38308,4.028367,0.007558,5,0.0,
0.84615,0.38615,4.781439,0.006863,5,0.0,
0.84615,0.38923,5.638721,0.005195,5,0.0,
0.84615,0.39231,6.605824,0.002356,5,0.0,
0.84615,0.39538,7.688687,0.006012,5,0.0,
0.84615,0.39846,8.901651,0.008575,5,0.0,
0.84615,0.40154,10.264091,0.004459,5,0.0,
0.84615,0.40462,11.783848,0.007853,5,0.0,
0.84615,0.40769,13.464632,0.001617,5,0.0,
0.84615,0.41077,15.330053,0.004052,5,0.0,
0.84615,0.41385,17.391133,0.004418,5,0.0,
0.84615,0.41692,19.679357,0.006168,5,0.0,
0.84615,0.42,22.197761,0.007217,5,0.0,
0.88462,0.3,1.176889,0.04898,5,0.0,
0.88462,0.30308,1.097046,0.051898,5,0.0,
0.88462,0.30615,1.07391,0.040382,5,0.0,
0.88462,0.30923,1.020913,0.080822,5,0.0,
0.88462,0.31231,0.963063,0.042724,5,0.0,
